bucket,topic,year,count
sci_bio,CRISPR gene editing,2000,18657
sci_bio,CRISPR gene editing,2001,18200
sci_bio,CRISPR gene editing,2002,19513
sci_bio,CRISPR gene editing,2003,19990
sci_bio,CRISPR gene editing,2004,22487
sci_bio,CRISPR gene editing,2005,21446
sci_bio,CRISPR gene editing,2006,22720
sci_bio,CRISPR gene editing,2007,23290
sci_bio,CRISPR gene editing,2008,23898
sci_bio,CRISPR gene editing,2009,24668
sci_bio,CRISPR gene editing,2010,25453
sci_bio,CRISPR gene editing,2011,26646
sci_bio,CRISPR gene editing,2012,27572
sci_bio,CRISPR gene editing,2013,27926
sci_bio,CRISPR gene editing,2014,28045
sci_bio,CRISPR gene editing,2015,28478
sci_bio,CRISPR gene editing,2016,30388
sci_bio,CRISPR gene editing,2017,30641
sci_bio,CRISPR gene editing,2018,32484
sci_bio,CRISPR gene editing,2019,35160
sci_bio,CRISPR gene editing,2020,46177
sci_bio,CRISPR gene editing,2021,41017
sci_bio,CRISPR gene editing,2022,41429
sci_bio,CRISPR gene editing,2023,52148
sci_bio,CRISPR gene editing,2024,44457
sci_bio,CRISPR gene editing,2025,47712
sci_bio,Polymerase chain reaction,2000,13070
sci_bio,Polymerase chain reaction,2001,13004
sci_bio,Polymerase chain reaction,2002,13312
sci_bio,Polymerase chain reaction,2003,13695
sci_bio,Polymerase chain reaction,2004,15048
sci_bio,Polymerase chain reaction,2005,15509
sci_bio,Polymerase chain reaction,2006,16022
sci_bio,Polymerase chain reaction,2007,17465
sci_bio,Polymerase chain reaction,2008,17940
sci_bio,Polymerase chain reaction,2009,19233
sci_bio,Polymerase chain reaction,2010,20126
sci_bio,Polymerase chain reaction,2011,21937
sci_bio,Polymerase chain reaction,2012,22123
sci_bio,Polymerase chain reaction,2013,23826
sci_bio,Polymerase chain reaction,2014,24882
sci_bio,Polymerase chain reaction,2015,25830
sci_bio,Polymerase chain reaction,2016,27422
sci_bio,Polymerase chain reaction,2017,27139
sci_bio,Polymerase chain reaction,2018,29279
sci_bio,Polymerase chain reaction,2019,32319
sci_bio,Polymerase chain reaction,2020,36281
sci_bio,Polymerase chain reaction,2021,37932
sci_bio,Polymerase chain reaction,2022,42561
sci_bio,Polymerase chain reaction,2023,46571
sci_bio,Polymerase chain reaction,2024,51019
sci_bio,Polymerase chain reaction,2025,55121
sci_bio,mRNA vaccine,2000,3875
sci_bio,mRNA vaccine,2001,4028
sci_bio,mRNA vaccine,2002,3905
sci_bio,mRNA vaccine,2003,4353
sci_bio,mRNA vaccine,2004,4884
sci_bio,mRNA vaccine,2005,4793
sci_bio,mRNA vaccine,2006,5443
sci_bio,mRNA vaccine,2007,5754
sci_bio,mRNA vaccine,2008,6009
sci_bio,mRNA vaccine,2009,6233
sci_bio,mRNA vaccine,2010,6511
sci_bio,mRNA vaccine,2011,7060
sci_bio,mRNA vaccine,2012,7334
sci_bio,mRNA vaccine,2013,7372
sci_bio,mRNA vaccine,2014,7523
sci_bio,mRNA vaccine,2015,7857
sci_bio,mRNA vaccine,2016,8223
sci_bio,mRNA vaccine,2017,8253
sci_bio,mRNA vaccine,2018,8769
sci_bio,mRNA vaccine,2019,9272
sci_bio,mRNA vaccine,2020,12953
sci_bio,mRNA vaccine,2021,20368
sci_bio,mRNA vaccine,2022,22997
sci_bio,mRNA vaccine,2023,21196
sci_bio,mRNA vaccine,2024,17791
sci_bio,mRNA vaccine,2025,17476
sci_bio,Gene therapy,2000,33602
sci_bio,Gene therapy,2001,34398
sci_bio,Gene therapy,2002,36599
sci_bio,Gene therapy,2003,39446
sci_bio,Gene therapy,2004,46697
sci_bio,Gene therapy,2005,44484
sci_bio,Gene therapy,2006,47275
sci_bio,Gene therapy,2007,49974
sci_bio,Gene therapy,2008,51694
sci_bio,Gene therapy,2009,54284
sci_bio,Gene therapy,2010,57590
sci_bio,Gene therapy,2011,61274
sci_bio,Gene therapy,2012,67226
sci_bio,Gene therapy,2013,69723
sci_bio,Gene therapy,2014,71596
sci_bio,Gene therapy,2015,76377
sci_bio,Gene therapy,2016,81590
sci_bio,Gene therapy,2017,83532
sci_bio,Gene therapy,2018,87881
sci_bio,Gene therapy,2019,96139
sci_bio,Gene therapy,2020,114782
sci_bio,Gene therapy,2021,110743
sci_bio,Gene therapy,2022,113454
sci_bio,Gene therapy,2023,138331
sci_bio,Gene therapy,2024,130105
sci_bio,Gene therapy,2025,144490
sci_bio,Epigenetics,2000,12
sci_bio,Epigenetics,2001,35
sci_bio,Epigenetics,2002,36
sci_bio,Epigenetics,2003,38
sci_bio,Epigenetics,2004,53
sci_bio,Epigenetics,2005,67
sci_bio,Epigenetics,2006,121
sci_bio,Epigenetics,2007,158
sci_bio,Epigenetics,2008,296
sci_bio,Epigenetics,2009,420
sci_bio,Epigenetics,2010,540
sci_bio,Epigenetics,2011,736
sci_bio,Epigenetics,2012,796
sci_bio,Epigenetics,2013,1053
sci_bio,Epigenetics,2014,906
sci_bio,Epigenetics,2015,986
sci_bio,Epigenetics,2016,1121
sci_bio,Epigenetics,2017,1307
sci_bio,Epigenetics,2018,1174
sci_bio,Epigenetics,2019,1378
sci_bio,Epigenetics,2020,1148
sci_bio,Epigenetics,2021,1281
sci_bio,Epigenetics,2022,1097
sci_bio,Epigenetics,2023,1353
sci_bio,Epigenetics,2024,1242
sci_bio,Epigenetics,2025,1349
sci_bio,Phylogenetics,2000,243
sci_bio,Phylogenetics,2001,243
sci_bio,Phylogenetics,2002,231
sci_bio,Phylogenetics,2003,308
sci_bio,Phylogenetics,2004,429
sci_bio,Phylogenetics,2005,326
sci_bio,Phylogenetics,2006,385
