bucket,topic,month,interest
pol_comp,Authoritarianism,200401,0
pol_comp,Authoritarianism,200402,19
pol_comp,Authoritarianism,200403,20
pol_comp,Authoritarianism,200404,17
pol_comp,Authoritarianism,200405,11
pol_comp,Authoritarianism,200406,12
pol_comp,Authoritarianism,200407,0
pol_comp,Authoritarianism,200408,0
pol_comp,Authoritarianism,200409,18
pol_comp,Authoritarianism,200410,12
pol_comp,Authoritarianism,200411,20
pol_comp,Authoritarianism,200412,17
pol_comp,Authoritarianism,200501,16
pol_comp,Authoritarianism,200502,11
pol_comp,Authoritarianism,200503,18
pol_comp,Authoritarianism,200504,17
pol_comp,Authoritarianism,200505,15
pol_comp,Authoritarianism,200506,9
pol_comp,Authoritarianism,200507,8
pol_comp,Authoritarianism,200508,12
pol_comp,Authoritarianism,200509,10
pol_comp,Authoritarianism,200510,15
pol_comp,Authoritarianism,200511,16
pol_comp,Authoritarianism,200512,18
pol_comp,Authoritarianism,200601,10
pol_comp,Authoritarianism,200602,12
pol_comp,Authoritarianism,200603,15
pol_comp,Authoritarianism,200604,14
pol_comp,Authoritarianism,200605,14
pol_comp,Authoritarianism,200606,9
pol_comp,Authoritarianism,200607,10
pol_comp,Authoritarianism,200608,10
pol_comp,Authoritarianism,200609,10
pol_comp,Authoritarianism,200610,14
pol_comp,Authoritarianism,200611,13
pol_comp,Authoritarianism,200612,10
pol_comp,Authoritarianism,200701,8
pol_comp,Authoritarianism,200702,13
pol_comp,Authoritarianism,200703,11
pol_comp,Authoritarianism,200704,12
pol_comp,Authoritarianism,200705,10
pol_comp,Authoritarianism,200706,6
pol_comp,Authoritarianism,200707,6
pol_comp,Authoritarianism,200708,5
pol_comp,Authoritarianism,200709,13
pol_comp,Authoritarianism,200710,14
pol_comp,Authoritarianism,200711,13
pol_comp,Authoritarianism,200712,14
pol_comp,Authoritarianism,200801,7
pol_comp,Authoritarianism,200802,13
pol_comp,Authoritarianism,200803,14
pol_comp,Authoritarianism,200804,11
pol_comp,Authoritarianism,200805,13
pol_comp,Authoritarianism,200806,8
pol_comp,Authoritarianism,200807,6
pol_comp,Authoritarianism,200808,6
pol_comp,Authoritarianism,200809,11
pol_comp,Authoritarianism,200810,14
pol_comp,Authoritarianism,200811,13
pol_comp,Authoritarianism,200812,13
pol_comp,Authoritarianism,200901,10
pol_comp,Authoritarianism,200902,12
pol_comp,Authoritarianism,200903,13
pol_comp,Authoritarianism,200904,13
pol_comp,Authoritarianism,200905,12
pol_comp,Authoritarianism,200906,7
pol_comp,Authoritarianism,200907,7
pol_comp,Authoritarianism,200908,7
pol_comp,Authoritarianism,200909,12
pol_comp,Authoritarianism,200910,15
pol_comp,Authoritarianism,200911,14
pol_comp,Authoritarianism,200912,13
pol_comp,Authoritarianism,201001,9
pol_comp,Authoritarianism,201002,13
pol_comp,Authoritarianism,201003,14
pol_comp,Authoritarianism,201004,15
pol_comp,Authoritarianism,201005,11
pol_comp,Authoritarianism,201006,7
pol_comp,Authoritarianism,201007,5
pol_comp,Authoritarianism,201008,7
pol_comp,Authoritarianism,201009,11
pol_comp,Authoritarianism,201010,11
pol_comp,Authoritarianism,201011,14
pol_comp,Authoritarianism,201012,11
pol_comp,Authoritarianism,201101,11
pol_comp,Authoritarianism,201102,11
pol_comp,Authoritarianism,201103,14
pol_comp,Authoritarianism,201104,11
pol_comp,Authoritarianism,201105,11
pol_comp,Authoritarianism,201106,8
pol_comp,Authoritarianism,201107,6
pol_comp,Authoritarianism,201108,6
pol_comp,Authoritarianism,201109,10
pol_comp,Authoritarianism,201110,12
pol_comp,Authoritarianism,201111,12
pol_comp,Authoritarianism,201112,11
pol_comp,Authoritarianism,201201,9
pol_comp,Authoritarianism,201202,12
pol_comp,Authoritarianism,201203,11
pol_comp,Authoritarianism,201204,12
pol_comp,Authoritarianism,201205,10
pol_comp,Authoritarianism,201206,7
pol_comp,Authoritarianism,201207,5
pol_comp,Authoritarianism,201208,6
pol_comp,Authoritarianism,201209,10
pol_comp,Authoritarianism,201210,12
pol_comp,Authoritarianism,201211,11
pol_comp,Authoritarianism,201212,9
pol_comp,Authoritarianism,201301,8
pol_comp,Authoritarianism,201302,10
pol_comp,Authoritarianism,201303,10
pol_comp,Authoritarianism,201304,11
pol_comp,Authoritarianism,201305,9
pol_comp,Authoritarianism,201306,8
pol_comp,Authoritarianism,201307,6
pol_comp,Authoritarianism,201308,6
pol_comp,Authoritarianism,201309,10
pol_comp,Authoritarianism,201310,11
pol_comp,Authoritarianism,201311,11
pol_comp,Authoritarianism,201312,10
pol_comp,Authoritarianism,201401,10
pol_comp,Authoritarianism,201402,12
pol_comp,Authoritarianism,201403,12
pol_comp,Authoritarianism,201404,12
pol_comp,Authoritarianism,201405,11
pol_comp,Authoritarianism,201406,6
pol_comp,Authoritarianism,201407,5
pol_comp,Authoritarianism,201408,6
pol_comp,Authoritarianism,201409,10
pol_comp,Authoritarianism,201410,12
pol_comp,Authoritarianism,201411,12
pol_comp,Authoritarianism,201412,10
pol_comp,Authoritarianism,201501,9
pol_comp,Authoritarianism,201502,10
pol_comp,Authoritarianism,201503,12
pol_comp,Authoritarianism,201504,14
pol_comp,Authoritarianism,201505,11
pol_comp,Authoritarianism,201506,7
pol_comp,Authoritarianism,201507,6
pol_comp,Authoritarianism,201508,7
pol_comp,Authoritarianism,201509,11
pol_comp,Authoritarianism,201510,12
pol_comp,Authoritarianism,201511,12
pol_comp,Authoritarianism,201512,10
pol_comp,Authoritarianism,201601,16
pol_comp,Authoritarianism,201602,17
pol_comp,Authoritarianism,201603,35
pol_comp,Authoritarianism,201604,16
pol_comp,Authoritarianism,201605,16
pol_comp,Authoritarianism,201606,11
pol_comp,Authoritarianism,201607,10
pol_comp,Authoritarianism,201608,10
pol_comp,Authoritarianism,201609,13
pol_comp,Authoritarianism,201610,17
pol_comp,Authoritarianism,201611,23
pol_comp,Authoritarianism,201612,15
pol_comp,Authoritarianism,201701,18
pol_comp,Authoritarianism,201702,23
pol_comp,Authoritarianism,201703,20
pol_comp,Authoritarianism,201704,19
pol_comp,Authoritarianism,201705,17
pol_comp,Authoritarianism,201706,11
pol_comp,Authoritarianism,201707,9
pol_comp,Authoritarianism,201708,10
pol_comp,Authoritarianism,201709,14
pol_comp,Authoritarianism,201710,17
pol_comp,Authoritarianism,201711,17
pol_comp,Authoritarianism,201712,13
pol_comp,Authoritarianism,201801,12
pol_comp,Authoritarianism,201802,15
pol_comp,Authoritarianism,201803,17
pol_comp,Authoritarianism,201804,19
pol_comp,Authoritarianism,201805,15
pol_comp,Authoritarianism,201806,12
pol_comp,Authoritarianism,201807,10
pol_comp,Authoritarianism,201808,10
pol_comp,Authoritarianism,201809,16
pol_comp,Authoritarianism,201810,18
pol_comp,Authoritarianism,201811,20
pol_comp,Authoritarianism,201812,14
pol_comp,Authoritarianism,201901,14
pol_comp,Authoritarianism,201902,16
pol_comp,Authoritarianism,201903,17
pol_comp,Authoritarianism,201904,17
pol_comp,Authoritarianism,201905,16
pol_comp,Authoritarianism,201906,11
pol_comp,Authoritarianism,201907,10
pol_comp,Authoritarianism,201908,12
pol_comp,Authoritarianism,201909,17
pol_comp,Authoritarianism,201910,18
pol_comp,Authoritarianism,201911,18
pol_comp,Authoritarianism,201912,15
pol_comp,Authoritarianism,202001,13
pol_comp,Authoritarianism,202002,20
pol_comp,Authoritarianism,202003,18
pol_comp,Authoritarianism,202004,22
pol_comp,Authoritarianism,202005,20
pol_comp,Authoritarianism,202006,18
pol_comp,Authoritarianism,202007,17
pol_comp,Authoritarianism,202008,20
pol_comp,Authoritarianism,202009,26
pol_comp,Authoritarianism,202010,23
pol_comp,Authoritarianism,202011,24
pol_comp,Authoritarianism,202012,16
pol_comp,Authoritarianism,202101,17
pol_comp,Authoritarianism,202102,17
pol_comp,Authoritarianism,202103,18
pol_comp,Authoritarianism,202104,15
