bucket,topic,month,views
sci_bio,CRISPR gene editing,201811,3
sci_bio,CRISPR gene editing,201902,5268
sci_bio,CRISPR gene editing,201903,11038
sci_bio,CRISPR gene editing,201904,12437
sci_bio,CRISPR gene editing,201905,12043
sci_bio,CRISPR gene editing,201906,11862
sci_bio,CRISPR gene editing,201907,11120
sci_bio,CRISPR gene editing,201908,10571
sci_bio,CRISPR gene editing,201909,12668
sci_bio,CRISPR gene editing,201910,24510
sci_bio,CRISPR gene editing,201911,20617
sci_bio,CRISPR gene editing,201912,19649
sci_bio,CRISPR gene editing,202001,19649
sci_bio,CRISPR gene editing,202002,17228
sci_bio,CRISPR gene editing,202003,20045
sci_bio,CRISPR gene editing,202004,20249
sci_bio,CRISPR gene editing,202005,19493
sci_bio,CRISPR gene editing,202006,15173
sci_bio,CRISPR gene editing,202007,12045
sci_bio,CRISPR gene editing,202008,12894
sci_bio,CRISPR gene editing,202009,19630
sci_bio,CRISPR gene editing,202010,65192
sci_bio,CRISPR gene editing,202011,27859
sci_bio,CRISPR gene editing,202012,30914
sci_bio,CRISPR gene editing,202101,27193
sci_bio,CRISPR gene editing,202102,24687
sci_bio,CRISPR gene editing,202103,34737
sci_bio,CRISPR gene editing,202104,29088
sci_bio,CRISPR gene editing,202105,26375
sci_bio,CRISPR gene editing,202106,26015
sci_bio,CRISPR gene editing,202107,25287
sci_bio,CRISPR gene editing,202108,24555
sci_bio,CRISPR gene editing,202109,25874
sci_bio,CRISPR gene editing,202110,22877
sci_bio,CRISPR gene editing,202111,23754
sci_bio,CRISPR gene editing,202112,23319
sci_bio,CRISPR gene editing,202201,25305
sci_bio,CRISPR gene editing,202202,21085
sci_bio,CRISPR gene editing,202203,22843
sci_bio,CRISPR gene editing,202204,19383
sci_bio,CRISPR gene editing,202205,19081
sci_bio,CRISPR gene editing,202206,16851
sci_bio,CRISPR gene editing,202207,16216
sci_bio,CRISPR gene editing,202208,15849
sci_bio,CRISPR gene editing,202209,17294
sci_bio,CRISPR gene editing,202210,19316
sci_bio,CRISPR gene editing,202211,21474
sci_bio,CRISPR gene editing,202212,22037
sci_bio,CRISPR gene editing,202301,23335
sci_bio,CRISPR gene editing,202302,19704
sci_bio,CRISPR gene editing,202303,21607
sci_bio,CRISPR gene editing,202304,18429
sci_bio,CRISPR gene editing,202305,18309
sci_bio,CRISPR gene editing,202306,15422
sci_bio,CRISPR gene editing,202307,14808
sci_bio,CRISPR gene editing,202308,13825
sci_bio,CRISPR gene editing,202309,14836
sci_bio,CRISPR gene editing,202310,15886
sci_bio,CRISPR gene editing,202311,18250
sci_bio,CRISPR gene editing,202312,22827
sci_bio,CRISPR gene editing,202401,19364
sci_bio,CRISPR gene editing,202402,17607
sci_bio,CRISPR gene editing,202403,20405
sci_bio,CRISPR gene editing,202404,19439
sci_bio,CRISPR gene editing,202405,22677
sci_bio,CRISPR gene editing,202406,17069
sci_bio,CRISPR gene editing,202407,14855
sci_bio,CRISPR gene editing,202408,13588
sci_bio,CRISPR gene editing,202409,17262
sci_bio,CRISPR gene editing,202410,17388
sci_bio,CRISPR gene editing,202411,15052
sci_bio,CRISPR gene editing,202412,13999
sci_bio,CRISPR gene editing,202501,14542
sci_bio,CRISPR gene editing,202502,14861
sci_bio,CRISPR gene editing,202503,17275
sci_bio,CRISPR gene editing,202504,18336
sci_bio,CRISPR gene editing,202505,19985
sci_bio,CRISPR gene editing,202506,14527
sci_bio,CRISPR gene editing,202507,13961
sci_bio,CRISPR gene editing,202508,12663
sci_bio,CRISPR gene editing,202509,14503
sci_bio,CRISPR gene editing,202510,13501
sci_bio,CRISPR gene editing,202511,14192
sci_bio,CRISPR gene editing,202512,14637
sci_bio,CRISPR gene editing,202601,13126
sci_bio,CRISPR gene editing,202602,11854
sci_bio,Polymerase chain reaction,201507,66619
sci_bio,Polymerase chain reaction,201508,67484
sci_bio,Polymerase chain reaction,201509,84209
sci_bio,Polymerase chain reaction,201510,107167
sci_bio,Polymerase chain reaction,201511,108966
sci_bio,Polymerase chain reaction,201512,89191
sci_bio,Polymerase chain reaction,201601,86357
sci_bio,Polymerase chain reaction,201602,102310
sci_bio,Polymerase chain reaction,201603,106564
sci_bio,Polymerase chain reaction,201604,106555
sci_bio,Polymerase chain reaction,201605,97411
sci_bio,Polymerase chain reaction,201606,76718
sci_bio,Polymerase chain reaction,201607,57930
sci_bio,Polymerase chain reaction,201608,61602
sci_bio,Polymerase chain reaction,201609,79909
sci_bio,Polymerase chain reaction,201610,102159
sci_bio,Polymerase chain reaction,201611,112270
sci_bio,Polymerase chain reaction,201612,92923
sci_bio,Polymerase chain reaction,201701,86300
sci_bio,Polymerase chain reaction,201702,89862
sci_bio,Polymerase chain reaction,201703,105473
sci_bio,Polymerase chain reaction,201704,97777
sci_bio,Polymerase chain reaction,201705,95763
sci_bio,Polymerase chain reaction,201706,70239
sci_bio,Polymerase chain reaction,201707,63592
sci_bio,Polymerase chain reaction,201708,59630
sci_bio,Polymerase chain reaction,201709,65719
sci_bio,Polymerase chain reaction,201710,90034
sci_bio,Polymerase chain reaction,201711,101483
sci_bio,Polymerase chain reaction,201712,79644
sci_bio,Polymerase chain reaction,201801,82758
sci_bio,Polymerase chain reaction,201802,80801
sci_bio,Polymerase chain reaction,201803,90644
sci_bio,Polymerase chain reaction,201804,94228
sci_bio,Polymerase chain reaction,201805,89960
sci_bio,Polymerase chain reaction,201806,65409
sci_bio,Polymerase chain reaction,201807,62391
sci_bio,Polymerase chain reaction,201808,59021
sci_bio,Polymerase chain reaction,201809,69610
sci_bio,Polymerase chain reaction,201810,84167
sci_bio,Polymerase chain reaction,201811,82784
sci_bio,Polymerase chain reaction,201812,71152
sci_bio,Polymerase chain reaction,201901,70446
sci_bio,Polymerase chain reaction,201902,69442
sci_bio,Polymerase chain reaction,201903,83654
sci_bio,Polymerase chain reaction,201904,86238
sci_bio,Polymerase chain reaction,201905,78915
sci_bio,Polymerase chain reaction,201906,59663
sci_bio,Polymerase chain reaction,201907,53821
sci_bio,Polymerase chain reaction,201908,53760
sci_bio,Polymerase chain reaction,201909,66848
sci_bio,Polymerase chain reaction,201910,85012
sci_bio,Polymerase chain reaction,201911,87251
sci_bio,Polymerase chain reaction,201912,67867
sci_bio,Polymerase chain reaction,202001,76687
sci_bio,Polymerase chain reaction,202002,86661
sci_bio,Polymerase chain reaction,202003,195192
sci_bio,Polymerase chain reaction,202004,222687
sci_bio,Polymerase chain reaction,202005,154086
sci_bio,Polymerase chain reaction,202006,110491
sci_bio,Polymerase chain reaction,202007,107595
sci_bio,Polymerase chain reaction,202008,106422
sci_bio,Polymerase chain reaction,202009,118166
sci_bio,Polymerase chain reaction,202010,150050
sci_bio,Polymerase chain reaction,202011,138472
sci_bio,Polymerase chain reaction,202012,144154
sci_bio,Polymerase chain reaction,202101,133440
sci_bio,Polymerase chain reaction,202102,104212
sci_bio,Polymerase chain reaction,202103,113272
sci_bio,Polymerase chain reaction,202104,100709
sci_bio,Polymerase chain reaction,202105,96270
sci_bio,Polymerase chain reaction,202106,93412
sci_bio,Polymerase chain reaction,202107,95361
sci_bio,Polymerase chain reaction,202108,93894
sci_bio,Polymerase chain reaction,202109,79770
sci_bio,Polymerase chain reaction,202110,75885
sci_bio,Polymerase chain reaction,202111,76107
sci_bio,Polymerase chain reaction,202112,96021
sci_bio,Polymerase chain reaction,202201,96071
sci_bio,Polymerase chain reaction,202202,64533
sci_bio,Polymerase chain reaction,202203,65434
sci_bio,Polymerase chain reaction,202204,56406
sci_bio,Polymerase chain reaction,202205,57104
sci_bio,Polymerase chain reaction,202206,44818
sci_bio,Polymerase chain reaction,202207,38447
sci_bio,Polymerase chain reaction,202208,36068
sci_bio,Polymerase chain reaction,202209,37701
sci_bio,Polymerase chain reaction,202210,41294
sci_bio,Polymerase chain reaction,202211,42603
sci_bio,Polymerase chain reaction,202212,45508
sci_bio,Polymerase chain reaction,202301,41714
sci_bio,Polymerase chain reaction,202302,36024
sci_bio,Polymerase chain reaction,202303,41517
sci_bio,Polymerase chain reaction,202304,33503
sci_bio,Polymerase chain reaction,202305,39906
sci_bio,Polymerase chain reaction,202306,30141
sci_bio,Polymerase chain reaction,202307,27831
sci_bio,Polymerase chain reaction,202308,27206
sci_bio,Polymerase chain reaction,202309,27382
sci_bio,Polymerase chain reaction,202310,32594
sci_bio,Polymerase chain reaction,202311,32330
sci_bio,Polymerase chain reaction,202312,30395
sci_bio,Polymerase chain reaction,202401,35579
sci_bio,Polymerase chain reaction,202402,33906
sci_bio,Polymerase chain reaction,202403,38919
sci_bio,Polymerase chain reaction,202404,34903
sci_bio,Polymerase chain reaction,202405,36296
sci_bio,Polymerase chain reaction,202406,27922
sci_bio,Polymerase chain reaction,202407,26354
sci_bio,Polymerase chain reaction,202408,23585
sci_bio,Polymerase chain reaction,202409,28084
sci_bio,Polymerase chain reaction,202410,28861
sci_bio,Polymerase chain reaction,202411,29069
sci_bio,Polymerase chain reaction,202412,37074
sci_bio,Polymerase chain reaction,202501,39266
sci_bio,Polymerase chain reaction,202502,24896
sci_bio,Polymerase chain reaction,202503,27630
sci_bio,Polymerase chain reaction,202504,23007
sci_bio,Polymerase chain reaction,202505,22258
sci_bio,Polymerase chain reaction,202506,18140
sci_bio,Polymerase chain reaction,202507,15928
sci_bio,Polymerase chain reaction,202508,16169
sci_bio,Polymerase chain reaction,202509,20011
sci_bio,Polymerase chain reaction,202510,18918
sci_bio,Polymerase chain reaction,202511,18863
sci_bio,Polymerase chain reaction,202512,16073
sci_bio,Polymerase chain reaction,202601,16063
sci_bio,Polymerase chain reaction,202602,17131
sci_bio,mRNA vaccine,202106,2
sci_bio,mRNA vaccine,202107,1
sci_bio,mRNA vaccine,202108,1
sci_bio,mRNA vaccine,202111,1
sci_bio,mRNA vaccine,202112,0
sci_bio,mRNA vaccine,202206,0
sci_bio,mRNA vaccine,202305,0
sci_bio,mRNA vaccine,202309,1
sci_bio,mRNA vaccine,202310,0
sci_bio,mRNA vaccine,202311,0
sci_bio,mRNA vaccine,202406,0
sci_bio,mRNA vaccine,202408,1
sci_bio,mRNA vaccine,202409,1
sci_bio,mRNA vaccine,202410,4
sci_bio,mRNA vaccine,202411,1
sci_bio,mRNA vaccine,202412,1
sci_bio,mRNA vaccine,202501,3
sci_bio,mRNA vaccine,202503,1
sci_bio,mRNA vaccine,202505,2
sci_bio,mRNA vaccine,202506,3
sci_bio,mRNA vaccine,202507,2
sci_bio,mRNA vaccine,202508,4
sci_bio,mRNA vaccine,202509,3
sci_bio,mRNA vaccine,202510,1
sci_bio,mRNA vaccine,202511,31
sci_bio,mRNA vaccine,202512,11
sci_bio,mRNA vaccine,202601,2
sci_bio,mRNA vaccine,202602,3
sci_bio,Gene therapy,201507,20079
sci_bio,Gene therapy,201508,20650
sci_bio,Gene therapy,201509,22875
sci_bio,Gene therapy,201510,28747
sci_bio,Gene therapy,201511,32650
sci_bio,Gene therapy,201512,29519
sci_bio,Gene therapy,201601,27889
sci_bio,Gene therapy,201602,30202
sci_bio,Gene therapy,201603,33176
sci_bio,Gene therapy,201604,32669
sci_bio,Gene therapy,201605,33112
sci_bio,Gene therapy,201606,24349
sci_bio,Gene therapy,201607,19555
sci_bio,Gene therapy,201608,22366
sci_bio,Gene therapy,201609,24241
sci_bio,Gene therapy,201610,28355
sci_bio,Gene therapy,201611,34026
sci_bio,Gene therapy,201612,28837
sci_bio,Gene therapy,201701,27575
sci_bio,Gene therapy,201702,27239
sci_bio,Gene therapy,201703,34364
sci_bio,Gene therapy,201704,30093
sci_bio,Gene therapy,201705,30982
sci_bio,Gene therapy,201706,22830
sci_bio,Gene therapy,201707,20785
sci_bio,Gene therapy,201708,21579
sci_bio,Gene therapy,201709,22172
sci_bio,Gene therapy,201710,28161
sci_bio,Gene therapy,201711,33336
sci_bio,Gene therapy,201712,28707
sci_bio,Gene therapy,201801,29449
sci_bio,Gene therapy,201802,26273
sci_bio,Gene therapy,201803,29900
sci_bio,Gene therapy,201804,30898
sci_bio,Gene therapy,201805,30377
sci_bio,Gene therapy,201806,22176
sci_bio,Gene therapy,201807,20660
sci_bio,Gene therapy,201808,21159
sci_bio,Gene therapy,201809,23222
sci_bio,Gene therapy,201810,26735
sci_bio,Gene therapy,201811,30432
sci_bio,Gene therapy,201812,27301
sci_bio,Gene therapy,201901,24731
sci_bio,Gene therapy,201902,22895
sci_bio,Gene therapy,201903,28931
sci_bio,Gene therapy,201904,26880
sci_bio,Gene therapy,201905,28851
sci_bio,Gene therapy,201906,20553
sci_bio,Gene therapy,201907,17869
sci_bio,Gene therapy,201908,17876
sci_bio,Gene therapy,201909,24159
sci_bio,Gene therapy,201910,27478
sci_bio,Gene therapy,201911,29359
sci_bio,Gene therapy,201912,24292
sci_bio,Gene therapy,202001,24804
sci_bio,Gene therapy,202002,24327
sci_bio,Gene therapy,202003,25219
sci_bio,Gene therapy,202004,26897
sci_bio,Gene therapy,202005,23709
sci_bio,Gene therapy,202006,19189
sci_bio,Gene therapy,202007,16347
sci_bio,Gene therapy,202008,16022
sci_bio,Gene therapy,202009,20879
sci_bio,Gene therapy,202010,23272
sci_bio,Gene therapy,202011,23719
sci_bio,Gene therapy,202012,29191
sci_bio,Gene therapy,202101,32480
sci_bio,Gene therapy,202102,33633
sci_bio,Gene therapy,202103,43589
sci_bio,Gene therapy,202104,35190
sci_bio,Gene therapy,202105,33975
sci_bio,Gene therapy,202106,28442
sci_bio,Gene therapy,202107,26160
sci_bio,Gene therapy,202108,25457
sci_bio,Gene therapy,202109,24493
sci_bio,Gene therapy,202110,22813
sci_bio,Gene therapy,202111,26948
sci_bio,Gene therapy,202112,26593
sci_bio,Gene therapy,202201,24789
sci_bio,Gene therapy,202202,21452
sci_bio,Gene therapy,202203,23096
sci_bio,Gene therapy,202204,18505
sci_bio,Gene therapy,202205,19259
sci_bio,Gene therapy,202206,17184
sci_bio,Gene therapy,202207,15261
sci_bio,Gene therapy,202208,13784
sci_bio,Gene therapy,202209,13624
sci_bio,Gene therapy,202210,15744
sci_bio,Gene therapy,202211,18135
sci_bio,Gene therapy,202212,16244
sci_bio,Gene therapy,202301,17939
sci_bio,Gene therapy,202302,15240
sci_bio,Gene therapy,202303,15619
sci_bio,Gene therapy,202304,14822
sci_bio,Gene therapy,202305,17778
sci_bio,Gene therapy,202306,15183
sci_bio,Gene therapy,202307,13274
sci_bio,Gene therapy,202308,12326
sci_bio,Gene therapy,202309,12694
sci_bio,Gene therapy,202310,14570
sci_bio,Gene therapy,202311,15825
sci_bio,Gene therapy,202312,15745
sci_bio,Gene therapy,202401,18550
sci_bio,Gene therapy,202402,14320
sci_bio,Gene therapy,202403,17865
sci_bio,Gene therapy,202404,16793
sci_bio,Gene therapy,202405,19783
sci_bio,Gene therapy,202406,12583
sci_bio,Gene therapy,202407,10833
sci_bio,Gene therapy,202408,10230
sci_bio,Gene therapy,202409,11023
sci_bio,Gene therapy,202410,16097
sci_bio,Gene therapy,202411,11746
sci_bio,Gene therapy,202412,11010
sci_bio,Gene therapy,202501,11719
sci_bio,Gene therapy,202502,9411
sci_bio,Gene therapy,202503,10063
sci_bio,Gene therapy,202504,9031
sci_bio,Gene therapy,202505,9749
sci_bio,Gene therapy,202506,7494
sci_bio,Gene therapy,202507,7489
sci_bio,Gene therapy,202508,6450
sci_bio,Gene therapy,202509,7445
sci_bio,Gene therapy,202510,7083
sci_bio,Gene therapy,202511,8552
sci_bio,Gene therapy,202512,7343
sci_bio,Gene therapy,202601,6850
sci_bio,Gene therapy,202602,6000
sci_bio,Epigenetics,201507,53472
sci_bio,Epigenetics,201508,60199
sci_bio,Epigenetics,201509,69584
sci_bio,Epigenetics,201510,74242
sci_bio,Epigenetics,201511,68356
sci_bio,Epigenetics,201512,68441
sci_bio,Epigenetics,201601,68355
sci_bio,Epigenetics,201602,85026
sci_bio,Epigenetics,201603,80237
sci_bio,Epigenetics,201604,78834
sci_bio,Epigenetics,201605,71180
sci_bio,Epigenetics,201606,56421
sci_bio,Epigenetics,201607,47452
sci_bio,Epigenetics,201608,51318
